CUT,Nombre,Latitud,Longitud
13112,La Pintana,-33.583,-70.634
13113,La Reina,-33.443,-70.532
13114,Las Condes,-33.4166666666667,-70.5833333333333
13115,Lo Barnechea,-33.35,-70.5166666666667
13116,Lo Espejo,-33.522,-70.687
13117,Lo Prado,-33.445,-70.726
13118,Macul,-33.487,-70.604
13119,Maipú,-33.5166666666667,-70.7666666666667
13120,Ñuñoa,-33.454,-70.604
13121,Pedro Aguirre Cerda,-33.4663333333333,-70.6336666666667
13122,Peñalolén,-33.4861888888889,-70.5333333333333
13123,Providencia,-33.435,-70.616
13124,Pudahuel,-33.4333333333333,-70.7166666666667
13125,Quilicura,-33.361,-70.729
13126,Quinta Normal,-33.427,-70.699
13127,Recoleta,-33.406,-70.64
13128,Renca,-33.398,-70.723
13129,San Joaquín,-33.491,-70.628
13130,San Miguel,-33.4858333333333,-70.6494444444445
13131,San Ramón,-33.5333333333333,-70.6416666666667
13132,Vitacura,-33.4,-70.6
13201,Puente Alto,-33.616,-70.57
13202,Pirque,-33.65,-70.564
13203,San José de Maipo,-33.644,-70.353
13301,Colina,-33.194,-70.668
13302,Lampa,-33.286,-70.878
13303,Til Til,-33.085,-70.925
13401,San Bernardo,-33.582,-70.687
13402,Buin,-33.728,-70.739
13403,Calera de Tango,-33.628,-70.785
13404,Paine,-33.812,-70.723
13501,Melipilla,-33.689,-71.208
13502,Alhué,-34.033,-71.1
13503,Curacaví,-33.399,-71.137
13504,María Pinto,-33.515,-71.119
13505,San Pedro,-33.9,-71.467
13601,Talagante,-33.667,-70.931
13602,El Monte,-33.684,-71.017
13603,Isla de Maipo,-33.754,-70.886
13604,Padre Hurtado,-33.576,-70.8
13605,Peñaflor,-33.6062777777778,-70.8765222222222
